Epoch,Epoch Time,Train Loss,Train BCE Loss,Train Residual Anchor Loss,Train Weighted Residual Anchor Loss,Train Gradient Norm,Val auprc,Val Topology Loss,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Selected Rule Type,Selected Rule Positive Edges,Monitor Metric,Monitor Value,Local Train Pairs,Global Train Pairs,Local Validation Pairs,Global Validation Pairs,Peak GPU Mem MB,Learning Rate
1,1505.9334496008232,0.4438065717742732,0.4438065717742732,0.0,0.0,673335744.0,0.17230875962740463,15995.9466583803,0.08140278103546293,45.67748719031833,35.18297046758384,88.13682799076662,threshold,1110955.0,val_topology_loss,15995.9466583803,63150,252600,15841,63362,5522.7939453125,0.0001
2,1513.5211140383035,24444329.860439926,801807.7446768606,2364252209824678.5,23642522.1764858,54724603904.0,0.17624070096170025,15995.9466583803,0.08140278103546293,45.67748719031833,35.18297046758384,88.13682799076662,threshold,1110955.0,val_topology_loss,15995.9466583803,63150,252600,15841,63362,5522.7939453125,0.0001
3,1514.755003186874,16475771.106389053,664339.914334422,1581143110754166.2,15811431.141619625,39440195584.0,0.19496454350756046,15995.9466583803,0.08140278103546293,45.67748719031833,35.18297046758384,88.13682799076662,threshold,1110955.0,val_topology_loss,15995.9466583803,63150,252600,15841,63362,5522.7939453125,0.0001
4,73.53307074401528,4010333.6117374306,326043.8663789093,368428975246998.44,3684289.727142221,16533317632.0,0.15029560616875243,26.997546486446364,0.0,0.0,34.05457775522393,9.702576088343974,threshold,0.0,val_topology_loss,26.997546486446364,63150,252600,15841,63362,5522.7939453125,0.0001
5,73.24222423043102,180776.88167810568,170408.10425898162,1036877565141.3942,10368.775580212041,6470357504.0,0.1506742852723478,26.997546486446364,0.0,0.0,34.05457775522393,9.702576088343974,threshold,0.0,val_topology_loss,26.997546486446364,63150,252600,15841,63362,5522.7939453125,0.0001
6,73.27347728703171,1160482.0904220752,884816.7226366018,27566536603378.566,275665.3677790452,8192144384.0,0.15061586821133696,26.997546486446364,0.0,0.0,34.05457775522393,9.702576088343974,threshold,0.0,val_topology_loss,26.997546486446364,63150,252600,15841,63362,5522.7939453125,0.0001
7,1514.7002673745155,508736.2922545865,444193.2636833794,6454302601257.706,64543.02553132191,5927005696.0,0.3815419781313847,15995.9466583803,0.08140278103546293,45.67748719031833,35.18297046758384,88.13682799076662,threshold,1110955.0,val_topology_loss,15995.9466583803,63150,252600,15841,63362,5522.7939453125,0.0001
8,1519.6472696745768,182453.42754475333,36230.92442309358,14622250331119.51,146222.50128062957,2288967168.0,0.37943853443841025,15995.9466583803,0.08140278103546293,45.67748719031833,35.18297046758384,88.13682799076662,threshold,1110955.0,val_topology_loss,15995.9466583803,63150,252600,15841,63362,5522.7939453125,0.0001
9,469.8684079106897,215285.42737028652,43932.89170681166,17135253447398.988,171352.53489461166,2171351808.0,0.30713840386799873,667.0756594089822,0.071818003384192,10.040466600845171,15.317668330909845,46.48352358935197,threshold,305344.0,val_topology_loss,667.0756594089822,63150,252600,15841,63362,5522.7939453125,0.0001
10,73.88252531643957,31622.025580925176,13805.418229361901,1781660778207.91,17816.60756253909,396332096.0,0.15082266911944223,26.997546486446364,0.0,0.0,34.05457775522393,9.702576088343974,threshold,0.0,val_topology_loss,26.997546486446364,63150,252600,15841,63362,5522.7939453125,0.0001
