Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Internal Val Top-m Mean Pred Edges,Internal Val Fixed Threshold Mean Pred Edges,Internal Val Mean Target Edges,Internal Val Top-m Total Pred Edges,Internal Val Fixed Threshold Total Pred Edges,Internal Val Total Target Edges,Internal Val Top-m Pred Edge Fraction,Internal Val Fixed Threshold Pred Edge Fraction,Internal Val Target Edge Fraction,Internal Val Top-m Pred/Target Edge Ratio,Internal Val Fixed Threshold Pred/Target Edge Ratio,Internal Val Prob Min,Internal Val Prob Mean,Internal Val Prob Max,Internal Val Prob P50,Internal Val Prob P90,Internal Val Prob P95,Internal Val Prob >= Threshold Fraction,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,555.418,0.006,0.000,2.879,0.787,0.710,0.487,15.521,1.732,17.253,0.500,0.095,3.336,15.083,21.599,145.520,2170.000,81.900,7276.000,108500.000,4095.000,0.067,1.000,0.038,1.777,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1316,48771,48771,1.000,1.000,3221295,203750,48771,243855,154979,3.178,0.063,203.150,123.061,203.096,0.000,17.686,24870.561,1.000,6e-06
2,614.188,0.007,0.000,2.883,0.787,0.707,0.360,10.287,1.288,11.576,0.501,0.066,1.830,16.241,20.365,56.980,2170.000,81.900,2849.000,108500.000,4095.000,0.026,1.000,0.038,0.696,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1316,48771,48771,1.000,1.000,3221295,203750,48771,243855,154979,3.178,0.063,205.678,152.844,234.956,0.000,17.511,24870.561,1.000,6e-06
3,623.494,0.004,0.000,2.879,0.787,0.710,0.349,7.405,0.576,7.981,0.604,0.085,1.747,9.269,2.829,58.080,2170.000,81.900,2904.000,108500.000,4095.000,0.027,1.000,0.038,0.709,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,205.796,158.626,237.879,0.000,16.754,24870.561,1.000,6e-06
4,622.984,0.004,0.000,2.886,0.787,0.709,0.350,7.782,0.545,8.327,0.582,0.072,1.375,9.657,2.402,56.080,2170.000,81.900,2804.000,108500.000,4095.000,0.026,1.000,0.038,0.685,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,206.580,158.165,238.847,0.000,16.123,24870.561,1.000,6e-06
5,636.795,0.003,0.000,2.881,0.787,0.710,0.348,6.755,0.516,7.270,0.623,0.092,0.784,9.329,2.222,61.820,2170.000,81.900,3091.000,108500.000,4095.000,0.028,1.000,0.038,0.755,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,214.875,158.865,238.549,0.000,17.705,24870.561,1.000,6e-06
6,615.966,0.003,0.000,2.883,0.787,0.706,0.348,6.299,0.469,6.768,0.636,0.086,1.156,8.471,2.168,60.140,2170.000,81.900,3007.000,108500.000,4095.000,0.028,1.000,0.038,0.734,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,200.904,157.786,238.422,0.000,16.408,24870.561,1.000,6e-06
7,625.291,0.003,0.000,2.885,0.787,0.709,0.349,6.706,0.486,7.192,0.621,0.092,0.830,8.881,1.941,58.300,2170.000,81.900,2915.000,108500.000,4095.000,0.027,1.000,0.038,0.712,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1316,48771,48771,1.000,1.000,3221295,203750,48771,243855,154979,3.178,0.063,204.854,157.635,238.590,0.000,17.553,24870.561,1.000,6e-06
8,642.275,0.002,0.000,2.880,0.787,0.708,0.348,6.664,0.460,7.124,0.626,0.094,1.079,8.339,2.124,60.140,2170.000,81.900,3007.000,108500.000,4095.000,0.028,1.000,0.038,0.734,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,214.555,160.271,238.024,0.000,17.103,24870.561,1.000,6e-06
9,612.092,0.003,0.000,2.883,0.787,0.709,0.349,6.593,0.492,7.084,0.632,0.088,0.784,8.991,1.877,58.460,2170.000,81.900,2923.000,108500.000,4095.000,0.027,1.000,0.038,0.714,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1316,48771,48771,1.000,1.000,3221295,203750,48771,243855,154979,3.178,0.063,193.189,158.556,236.147,0.000,17.425,24870.561,1.000,6e-06
10,645.274,0.003,0.000,2.885,0.787,0.709,0.349,6.961,0.617,7.578,0.618,0.080,0.610,11.138,2.252,62.500,2170.000,81.900,3125.000,108500.000,4095.000,0.029,1.000,0.038,0.763,26.496,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,219.776,160.533,238.531,0.000,16.458,24870.561,1.000,6e-06
