scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.118,0.140,38.296,21.727,17.634
node_size,40,50,0.161,0.223,48.712,14.509,30.840
node_size,60,50,0.179,0.289,27.937,8.773,24.285
node_size,80,50,0.181,0.318,6.393,2.869,7.241
node_size,100,50,0.196,0.392,12.951,4.589,11.680
node_size,120,50,0.167,0.418,63.371,22.391,44.635
node_size,140,50,0.134,0.414,74.617,45.799,66.365
node_size,160,50,0.189,0.501,26.433,11.142,25.841
node_size,180,50,0.145,0.413,73.176,30.866,104.648
node_size,200,50,0.132,0.530,16.950,10.101,17.029
summary,all,500,0.160,0.364,38.883,17.277,35.020
