scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.170,0.224,32.074,15.086,16.047
node_size,40,50,0.198,0.305,42.661,11.410,26.288
node_size,60,50,0.212,0.418,21.355,5.566,18.743
node_size,80,50,0.220,0.517,4.586,1.497,5.048
node_size,100,50,0.224,0.587,8.852,2.530,8.090
node_size,120,50,0.187,0.665,44.848,13.324,28.565
node_size,140,50,0.161,0.676,48.539,25.061,39.080
node_size,160,50,0.201,0.718,18.119,5.814,16.437
node_size,180,50,0.167,0.712,45.958,16.137,55.764
node_size,200,50,0.146,0.810,10.209,5.668,8.827
summary,all,500,0.189,0.563,27.720,10.209,22.289
