scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.119,0.161,39.149,21.143,18.914
node_size,40,50,0.143,0.207,56.013,17.495,35.034
node_size,60,50,0.180,0.323,27.450,8.405,24.688
node_size,80,50,0.187,0.380,6.090,2.466,7.455
node_size,100,50,0.203,0.445,11.791,3.818,11.846
node_size,120,50,0.158,0.455,59.488,20.018,43.789
node_size,140,50,0.141,0.461,70.637,38.983,63.524
node_size,160,50,0.183,0.495,26.426,9.395,27.556
node_size,180,50,0.144,0.491,67.007,24.277,94.826
node_size,200,50,0.130,0.597,15.566,8.042,15.013
summary,all,500,0.159,0.402,37.962,15.404,34.264
