scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.4400830382862344,0.7889850635550785,0.07463329966030319,0.04917488050761243,0.11823389679500451
node_size,40,50,0.3903143747303832,0.9233410634130346,0.0402172443104134,0.04401745525783607,0.06157575616831945
node_size,60,50,0.3643194236933995,1.0374904057891698,0.03523399194435406,0.04865980748341747,0.048464264550709624
node_size,80,50,0.3255557747904043,1.195564262181296,0.05697074259717971,0.0766349413108065,0.05216351764172589
node_size,100,50,0.32196907088103005,1.2605846372296006,0.06725330774147809,0.09120451926628959,0.04847883032488598
node_size,120,50,0.26822496942816676,1.603714677364003,0.0938460593097088,0.11927210243105613,0.05824739311895466
node_size,140,50,0.24508781938360197,1.7013028464231714,0.10552376835938859,0.14527862439064831,0.06354736054624932
node_size,160,50,0.2748360394489992,1.6449635887427214,0.09086234477800015,0.1304327963854235,0.05736599633110262
node_size,180,50,0.24269073102904518,1.735854493273409,0.09397332573964823,0.1457680020932961,0.05983583393845082
node_size,200,50,0.2189385606508393,1.9626059265474376,0.12076972068656855,0.18634684370838261,0.0752955817239438
summary,all,500,0.3092019802322104,1.3854406964518924,0.07792838051270427,0.10367899728347688,0.06432084311393467
