scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.4700153953389505,1.6158477526396187,0.12389139400178362,0.10686284134777035,0.0724370667332801
node_size,40,50,0.41742752294502194,2.090579965626052,0.136435523920873,0.13189454291821723,0.074343978098516
node_size,60,50,0.37879492530100245,2.470937030452347,0.1899104350849854,0.182648682827536,0.08714925435797238
node_size,80,50,0.33541513594780253,3.137823956128509,0.21526095329475825,0.2135213307299948,0.11338403259568652
node_size,100,50,0.31991062326671565,3.3429401747964658,0.26568456192573975,0.2570418494009117,0.13558019601974558
node_size,120,50,0.24471365231930617,4.313384806781683,0.34518060164207287,0.30261750605386983,0.18713321770025337
node_size,140,50,0.21911109642309368,4.721544915985069,0.3804317325618465,0.3486980004358202,0.2092672491223917
node_size,160,50,0.2523265554847977,4.466825538540863,0.33229841124077564,0.29567455894860584,0.18444625865624587
node_size,180,50,0.22243159774705323,4.888312285840758,0.3706691168347154,0.3155541337861958,0.20133734784151147
node_size,200,50,0.18723880457120107,5.521731331088301,0.40859449297654016,0.3683039918988149,0.2343170455244985
summary,all,500,0.30473853093449454,3.656992775787967,0.2768357223484091,0.25228174383477364,0.14993956466501016
