scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.449,0.801,6.079,4.288,6.429
node_size,40,50,0.407,0.890,4.500,3.346,6.206
node_size,60,50,0.383,1.015,1.824,1.934,3.483
node_size,80,50,0.357,1.168,0.927,1.268,1.240
node_size,100,50,0.348,1.230,2.064,2.305,1.979
node_size,120,50,0.292,1.572,15.452,13.552,8.915
node_size,140,50,0.264,1.618,20.135,31.666,14.269
node_size,160,50,0.295,1.586,6.667,7.091,5.911
node_size,180,50,0.258,1.669,19.699,20.830,23.345
node_size,200,50,0.236,1.785,5.995,8.607,4.920
summary,all,500,0.329,1.333,8.334,9.489,7.670
