scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.2805596523322429,0.3038088033316128,16.94243459478802,19.614599412009095,12.800745437740867
node_size,40,50,0.22800115401595303,0.26753203658874186,11.186795049701335,14.229081605558266,20.684984593830585
node_size,60,50,0.22170203415627243,0.27537941511574593,14.465370113007031,12.745959968686511,30.46475260417536
node_size,80,50,0.22801072011941834,0.34821973777020004,22.882632606919262,20.64556572022161,29.150176637959692
node_size,100,50,0.20289797879575808,0.29171616738734935,23.868764438363602,13.458829637709641,36.384481314134334
node_size,120,50,0.1851703873470524,0.33479595325448996,24.44498564323774,23.447016253619857,44.734836040059335
node_size,140,50,0.1930754785119357,0.34064937062767325,14.905483890723843,15.669304856738545,42.96836365768717
node_size,160,50,0.1979434304140599,0.37491949423486154,16.241604348201733,12.05457533714185,23.237909336737612
node_size,180,50,0.20265337474778714,0.35528423565648176,13.07748565967849,15.171545056520058,33.864719160972946
node_size,200,50,0.15819781298423716,0.3529772113428713,47.18585479560945,30.573837390513336,66.08973974712025
summary,all,500,0.2098212023424717,0.32452824253100276,20.52014111402305,17.761031523871875,34.038070853041816
