scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.35254742938822814,0.6104817112903613,8.05421530915876,5.146943837151311,7.1366463823554405
node_size,40,50,0.2948151421327653,0.6776854542573649,6.782566990749996,4.347616963729792,11.001660071763274
node_size,60,50,0.2866074287924323,0.7598998911564059,11.532474813333652,4.9206230841206215,16.713097615013364
node_size,80,50,0.2871573025929341,1.1030632564704512,23.749722503329718,9.76572486844352,16.60778439759392
node_size,100,50,0.2634012476623448,0.9533773292148564,25.35817276414418,8.33237377132743,22.5268453257792
node_size,120,50,0.23109194484679935,1.2369528062968767,28.749434566166244,15.852086197229639,27.774290968611638
node_size,140,50,0.23388750103381792,1.1919096352676393,18.29453376828919,12.730111170584461,29.696232453821732
node_size,160,50,0.23221401555243756,1.3926625502671954,24.9702895602035,12.044985198833603,17.336347681525904
node_size,180,50,0.2411840120617656,1.3234315527773222,20.191608936955713,17.313688247121885,26.484807794622387
node_size,200,50,0.1939843067861723,1.4963531698513244,74.1127245323064,37.77555274368679,53.497319981492716
summary,all,500,0.26168903308496977,1.0745817356849798,24.179574374463733,12.822970608222906,22.877503267257957
