Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,12603.758324549533,0.4018586362129834,0.7272143221754899,0.0,0.0,0.0,0.656383645208343,0.7090813517570496,0.3021210407750169,1.0112023925320663,0.8827413995322655,0.13679702635709456,28.20752690186163,16.30552346376055,0.0,2668,48771,48771,1.0,1.0,1620810,203750,48771,243855,154979,3.177687560230465,0.1257087505629901,553.9906663137954,11325.316385114565,211.6361164227128,3.503728657960892e-05,389.42014547996223,26117.56884765625,1.0,6e-06
2,12692.993928047828,0.5496068324675892,0.7326412264710066,0.0,0.0,0.0,0.8060312577295696,0.4271630048751831,0.2858581822186473,0.7130211870938303,0.9094523046059683,0.1832623365181505,13.413714044100612,13.244521983741464,0.0,2668,48771,48771,1.0,1.0,1620810,203750,48771,243855,154979,3.177687560230465,0.1257087505629901,569.5134619390592,11397.233704539016,220.36703950259835,3.0226074159145355e-05,382.09676760900766,26510.36279296875,1.0,6e-06
3,12761.266381124966,0.4680298108900531,0.7222315583112981,0.0,0.0,0.0,0.7208108522025833,0.4232662618160248,0.2844690963815526,0.7077353581975774,0.9072641408489697,0.18723115319556397,12.77754852824647,12.780620816140942,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,562.1631334607955,11471.949361062841,212.0337233422324,3.216136246919632e-05,391.3599802246317,26307.4404296875,1.0,6e-06
4,12704.633472907357,0.45956495117274687,0.7155134928789243,0.0,0.0,0.0,0.7099946697761432,0.4234447777271271,0.28386545804644425,0.7073102357735713,0.904800277730644,0.18895583415301645,12.347497529568962,12.535942745270855,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,555.983368964633,11424.799538749969,208.44329715054482,2.6537105441093445e-05,391.1809040531516,26022.857421875,1.0,6e-06
5,12678.26867436245,0.4541713585445038,0.705209053150491,0.0,0.0,0.0,0.7009945232567825,0.4225097894668579,0.2831918697803929,0.7057016592472508,0.9051407091482511,0.1908803720560202,11.997816296442158,12.36217461505991,0.0,2667,48771,48771,1.0,1.0,1620030,203750,48771,243855,154979,3.177687560230465,0.1257692758776072,553.4358794898726,11371.219947456615,212.39190051145852,3.127008676528931e-05,417.18929170817137,26460.35205078125,1.0,6e-06
6,12760.36720423121,0.4537831087065976,0.6972225644406239,0.0,0.0,0.0,0.6978110023967868,0.41972610354423523,0.28278143362710545,0.7025075371713407,0.9072566761929434,0.19205304677969856,11.85799637197379,12.240808871515556,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,543.3395602798555,11471.417542634765,209.51344080548733,3.1235627830028534e-05,412.2488730372861,26370.33642578125,1.0,6e-06
7,12628.689202248119,0.45007120984895477,0.6947353093185347,0.0,0.0,0.0,0.6932285649218838,0.42992326617240906,0.2825996445816419,0.7125229107540509,0.9029032452022281,0.19257244405245166,11.62333056655744,11.96542008708573,0.0,2668,48771,48771,1.0,1.0,1620810,203750,48771,243855,154979,3.177687560230465,0.1257087505629901,552.9146609345917,11351.509547425667,204.51027697324753,3.3484771847724915e-05,396.7227633828297,25860.630859375,1.0,6e-06
8,12710.077205752023,0.44407951715131877,0.6901047733581303,0.0,0.0,0.0,0.6856161844935833,0.4277383089065552,0.2819840305798857,0.7097223394864409,0.9064806239361728,0.1943313412003264,11.291402117114028,11.800971738006146,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,560.9068445418961,11406.537379962625,214.34885737113655,3.14442440867424e-05,404.71257483400404,26053.06396484375,1.0,6e-06
9,12655.948365222663,0.44244091418686876,0.6829843279462628,0.0,0.0,0.0,0.681485425309742,0.42760738730430603,0.28156978707772234,0.7091771743820283,0.9072887810078335,0.19551489406365036,11.07746714740249,11.596300066516454,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,566.6353841021191,11356.212162774289,216.35939816012979,2.1756626665592194e-05,392.55268156155944,26069.95263671875,1.0,6e-06
10,12847.942020348273,0.4378932909851664,0.682543006237973,0.0,0.0,0.0,0.6767833399973558,0.42918625473976135,0.2812610336142633,0.7104472883540247,0.9093823025078727,0.19639704681639045,11.124070502392627,11.554287114540788,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,576.517198135145,11521.224255959038,224.93365990556777,2.4721026420593262e-05,401.0860500279814,26140.072265625,1.0,6e-06
11,12673.739645238966,0.4380592589701727,0.6787699942688854,0.0,0.0,0.0,0.6756287535374064,0.4243168830871582,0.27952121500637955,0.7038380980935377,0.9106717133545915,0.20136795712462974,10.357868927175145,11.15626181553843,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,566.4825419229455,11368.088360914495,209.13204673491418,2.661813050508499e-05,406.63544332794845,25572.55078125,1.0,6e-06
12,12673.136694458313,0.4341746076310605,0.673738347385295,0.0,0.0,0.0,0.6699830263395263,0.42885255813598633,0.28037726191582024,0.7092298200518066,0.9102980156896994,0.19892210881194217,10.670217890693188,11.196114287448239,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,578.2810154219624,11371.717936103465,210.0309057859704,2.2127293050289154e-05,389.5394102996215,26401.4921875,1.0,6e-06
13,12817.018168859184,0.4304594886620065,0.674617557634616,0.0,0.0,0.0,0.6665756314736084,0.4315683841705322,0.2808687555946597,0.7124371397651919,0.9108659532210762,0.1975178411581151,10.786241629683667,11.303441969927572,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,553.2038134355098,11522.930383767933,214.46730515919626,2.64141708612442e-05,402.3381863841787,26282.98974609375,1.0,6e-06
14,12694.220404015854,0.43011246224951094,0.6728709773908434,0.0,0.0,0.0,0.6656173012065602,0.43402406573295593,0.2807593216711743,0.7147833874041303,0.9101545834089122,0.1978305095109306,10.58584505442555,11.137664293215236,0.0,2671,48771,48771,1.0,1.0,1622460,203750,48771,243855,154979,3.177687560230465,0.12558090800389532,568.447230134625,11381.32325872383,210.01894808281213,2.6551075279712677e-05,411.15443836618215,26632.001953125,1.0,6e-06
15,12794.14605550468,0.4284365899023715,0.6704767858379342,0.0,0.0,0.0,0.6631034611874306,0.43252459168434143,0.2808746735398916,0.713399265224233,0.9111973616093286,0.19750093274316682,10.707277138414229,11.271682511116591,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,590.8312823637389,11463.638898652978,212.1476125791669,2.4409033358097076e-05,403.74216164276004,26147.29052734375,1.0,6e-06
