Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,12654.776003247127,0.4811549358896498,0.7172837805176068,0.7096437277325403,0.0,0.0,0.7663494295355441,0.500674307346344,72.218361809536,72.71903611688235,0.9077387314518055,0.1653536109900648,18.897522943625376,14.539388021294712,0.0,2668,48771,48771,1.0,1.0,1620810,203750,48771,243855,154979,3.177687560230465,0.1257087505629901,562.8813624854665,11361.307059903396,223.24931332096457,3.158673644065857e-05,384.25922474171966,26117.5693359375,1.0,6e-06
2,12748.04234178923,0.5647493283218261,0.6842846208024418,0.6933831949215634,0.0,0.0,0.8405103500837507,0.4245327115058899,19.549894142315495,19.974426853821384,0.9221827469786905,0.20426532228117025,10.28813833127792,11.426741470531997,0.0,2668,48771,48771,1.0,1.0,1620810,203750,48771,243855,154979,3.177687560230465,0.1257087505629901,558.6967273021583,11449.806397941196,221.66466335393488,3.6425888538360596e-05,394.1054278090596,26510.36328125,1.0,6e-06
3,12692.366214906797,0.5295949817875798,0.6522845390137662,0.6032236446804378,0.0,0.0,0.7794700914331143,0.42259788513183594,15.439523063989562,15.862120949121397,0.9243574789290869,0.21182381623745516,9.24664032111963,10.805422066135772,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,565.7781043678988,11407.352932000067,206.5335476025939,3.058556467294693e-05,389.1284336289391,26307.44091796875,1.0,6e-06
4,12652.111625895835,0.5198786625671404,0.6381271077971102,0.5648359904673234,0.0,0.0,0.7586389990078907,0.4264577627182007,12.294922734555593,12.721380497273794,0.9247798286096438,0.21702391167037455,8.350858428811913,9.807746008222358,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,571.2892510299571,11354.79624628881,207.75136331189424,3.143586218357086e-05,394.0058740656823,26022.85791015625,1.0,6e-06
5,12705.52623020392,0.5086072331450162,0.6266086248923296,0.5439187684374012,0.0,0.0,0.7406454599547305,0.4251067340373993,12.178415799771358,12.603522533808757,0.924918793944336,0.21759048064505637,8.315582800170619,9.891086343576067,0.0,2667,48771,48771,1.0,1.0,1620030,203750,48771,243855,154979,3.177687560230465,0.1257692758776072,572.4535052755382,11407.6302221925,217.09819967392832,3.0171126127243042e-05,384.29421666357666,26460.3525390625,1.0,6e-06
6,12583.66662074998,0.5103813561664265,0.6200465203146668,0.5339997238579003,0.0,0.0,0.7390394302935759,0.42484250664711,11.054088024033849,11.478930530680959,0.9255614010495629,0.22088313312169963,7.965866803310792,9.398279412197748,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,550.489093213575,11298.49543685466,216.0003526173532,3.20877879858017e-05,394.7400313904509,26370.3369140625,1.0,6e-06
7,12545.518570183776,0.5043804403869198,0.6183858423855441,0.5385773603108361,0.0,0.0,0.7337778633993783,0.43014296889305115,10.86288983185886,11.293032800751911,0.9241273886779993,0.22024558682678222,7.904566221648314,9.250613753210928,0.0,2668,48771,48771,1.0,1.0,1620810,203750,48771,243855,154979,3.177687560230465,0.1257087505629901,561.541434808867,11253.453255748376,210.20872430410236,3.0368566513061523e-05,397.1608179062605,25860.63134765625,1.0,6e-06
8,12796.39472449664,0.4957833123055233,0.6134592912122524,0.533950271694155,0.0,0.0,0.7232774948640547,0.43184342980384827,10.107402664613204,10.539246094417052,0.926567325720557,0.22398384882937392,7.657193215081411,9.068844494048227,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,579.1079450140242,11491.269686248386,205.1902038604021,3.3338554203510284e-05,397.17971372418106,26053.064453125,1.0,6e-06
9,12681.012224831618,0.49552592367826775,0.6078122129712659,0.5198216745357835,0.0,0.0,0.7188529337055227,0.4302577078342438,9.770700828740416,10.20095853657466,0.9265927215147884,0.22451019014670862,7.543865698165502,8.968347183101224,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,571.4645601164084,11370.904511558823,217.4812727831304,2.2782012820243835e-05,396.77303659077734,26069.953125,1.0,6e-06
10,12848.34659768641,0.4906669638353341,0.6048806766557336,0.5214134602786533,0.0,0.0,0.7138391054524911,0.4312521815299988,9.901601934319643,10.332854115849642,0.9288880262526935,0.22629356513227625,7.588273524719774,9.070113524865524,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,578.6559525476769,11543.526667414466,212.3465672871098,2.7234666049480438e-05,389.77401112858206,26140.07275390625,1.0,6e-06
