Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Internal Val Mean Pred Edges,Internal Val Mean Target Edges,Internal Val Total Pred Edges,Internal Val Total Target Edges,Internal Val Pred Edge Fraction,Internal Val Target Edge Fraction,Internal Val Pred/Target Edge Ratio,Internal Val Prob Min,Internal Val Prob Mean,Internal Val Prob Max,Internal Val Prob P50,Internal Val Prob P90,Internal Val Prob P95,Internal Val Prob >= Threshold Fraction,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,12524.783,0.579,0.000,0.572,0.000,0.000,0.837,0.452,63.598,64.050,0.914,0.197,12.888,12.355,0.000,689.360,81.900,34468.000,4095.000,0.318,0.038,8.417,0.025,0.335,0.964,0.093,0.910,0.923,0.318,2668,48771,48771,1.000,1.000,1620810,203750,48771,243855,154979,3.178,0.126,557.335,11250.453,210.266,0.000,382.947,26117.569,1.000,6e-06
2,12688.946,0.622,0.000,0.455,0.000,0.000,0.827,0.450,21.458,21.908,0.927,0.221,7.905,9.533,0.000,487.500,81.900,24375.000,4095.000,0.225,0.038,5.952,0.010,0.247,0.937,0.077,0.839,0.883,0.225,2668,48771,48771,1.000,1.000,1620810,203750,48771,243855,154979,3.178,0.126,563.851,11409.507,209.186,0.000,382.175,26510.363,1.000,6e-06
3,12678.545,0.593,0.000,0.384,0.000,0.000,0.766,0.455,16.489,16.944,0.929,0.228,7.053,8.516,0.000,448.420,81.900,22421.000,4095.000,0.207,0.038,5.475,0.006,0.232,0.936,0.079,0.814,0.874,0.207,2670,48771,48771,1.000,1.000,1622025,203750,48771,243855,154979,3.178,0.126,563.583,11397.987,209.180,0.000,383.718,26307.440,1.000,6e-06
4,12711.491,0.582,0.000,0.356,0.000,0.000,0.742,0.458,14.097,14.555,0.931,0.231,6.597,7.840,0.000,430.820,81.900,21541.000,4095.000,0.199,0.038,5.260,0.004,0.227,0.939,0.079,0.810,0.879,0.199,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,565.438,11423.432,210.339,0.000,387.616,26022.857,1.000,6e-06
5,12703.537,0.572,0.000,0.345,0.000,0.000,0.727,0.460,12.759,13.219,0.931,0.234,6.325,7.528,0.000,419.540,81.900,20977.000,4095.000,0.193,0.038,5.123,0.003,0.224,0.944,0.079,0.812,0.886,0.193,2667,48771,48771,1.000,1.000,1620030,203750,48771,243855,154979,3.178,0.126,561.424,11423.425,209.193,0.000,385.026,26460.352,1.000,6e-06
6,12672.017,0.571,0.000,0.336,0.000,0.000,0.722,0.460,11.525,11.985,0.932,0.240,6.061,7.097,0.000,410.040,81.900,20502.000,4095.000,0.189,0.038,5.007,0.003,0.223,0.949,0.079,0.814,0.893,0.189,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,536.244,11417.532,209.053,0.000,384.879,26370.336,1.000,6e-06
7,12644.494,0.566,0.000,0.336,0.000,0.000,0.717,0.461,11.001,11.463,0.932,0.240,5.944,6.863,0.000,406.600,81.900,20330.000,4095.000,0.187,0.038,4.965,0.003,0.221,0.954,0.077,0.817,0.899,0.187,2668,48771,48771,1.000,1.000,1620810,203750,48771,243855,154979,3.178,0.126,563.284,11367.042,210.412,0.000,380.018,25860.631,1.000,6e-06
8,12692.841,0.556,0.000,0.332,0.000,0.000,0.705,0.464,10.648,11.112,0.933,0.241,5.864,6.746,0.000,404.300,81.900,20215.000,4095.000,0.186,0.038,4.937,0.002,0.220,0.959,0.074,0.826,0.907,0.186,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,564.464,11413.427,209.635,0.000,380.990,26053.064,1.000,6e-06
9,12665.101,0.556,0.000,0.327,0.000,0.000,0.703,0.461,10.188,10.649,0.933,0.244,5.758,6.585,0.000,399.760,81.900,19988.000,4095.000,0.184,0.038,4.881,0.002,0.220,0.961,0.075,0.827,0.910,0.184,2670,48771,48771,1.000,1.000,1622025,203750,48771,243855,154979,3.178,0.126,568.195,11381.190,209.574,0.000,381.437,26069.953,1.000,6e-06
10,12736.184,0.550,0.000,0.326,0.000,0.000,0.697,0.461,10.232,10.692,0.935,0.243,5.768,6.688,0.000,398.060,81.900,19903.000,4095.000,0.183,0.038,4.860,0.002,0.218,0.964,0.071,0.829,0.914,0.183,2670,48771,48771,1.000,1.000,1622025,203750,48771,243855,154979,3.178,0.126,578.932,11440.108,209.975,0.000,382.422,26140.072,1.000,6e-06
11,12741.535,0.550,0.000,0.319,0.000,0.000,0.693,0.461,9.264,9.724,0.935,0.246,5.537,6.268,0.000,386.740,81.900,19337.000,4095.000,0.178,0.038,4.722,0.002,0.216,0.966,0.074,0.821,0.915,0.178,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,574.398,11446.310,210.052,0.000,386.652,25572.551,1.000,6e-06
12,12755.234,0.546,0.000,0.315,0.000,0.000,0.688,0.460,9.236,9.696,0.936,0.246,5.530,6.324,0.000,387.120,81.900,19356.000,4095.000,0.178,0.038,4.727,0.002,0.216,0.967,0.073,0.829,0.920,0.178,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,576.360,11459.818,208.331,0.000,386.686,26401.492,1.000,6e-06
13,12774.260,0.541,0.000,0.318,0.000,0.000,0.684,0.462,9.443,9.904,0.936,0.244,5.581,6.357,0.000,392.700,81.900,19635.000,4095.000,0.181,0.038,4.795,0.002,0.216,0.969,0.069,0.839,0.925,0.181,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,563.688,11489.427,209.713,0.000,386.985,26282.990,1.000,6e-06
14,12796.517,0.539,0.000,0.316,0.000,0.000,0.681,0.463,8.762,9.225,0.936,0.246,5.413,6.116,0.000,385.520,81.900,19276.000,4095.000,0.178,0.038,4.707,0.002,0.214,0.970,0.069,0.836,0.926,0.178,2671,48771,48771,1.000,1.000,1622460,203750,48771,243855,154979,3.178,0.126,571.839,11501.220,211.349,0.000,388.320,26632.002,1.000,6e-06
15,12791.274,0.538,0.000,0.311,0.000,0.000,0.678,0.459,9.070,9.530,0.937,0.247,5.490,6.199,0.000,388.740,81.900,19437.000,4095.000,0.179,0.038,4.747,0.002,0.216,0.971,0.068,0.840,0.929,0.179,2670,48771,48771,1.000,1.000,1622025,203750,48771,243855,154979,3.178,0.126,588.046,11483.848,208.999,0.000,386.091,26147.291,1.000,6e-06
16,12799.408,0.533,0.000,0.307,0.000,0.000,0.671,0.463,8.423,8.885,0.937,0.249,5.326,6.036,0.000,381.860,81.900,19093.000,4095.000,0.176,0.038,4.663,0.002,0.213,0.972,0.067,0.839,0.931,0.176,2672,48771,48771,1.000,1.000,1623240,203750,48771,243855,154979,3.178,0.126,575.097,11503.879,208.536,0.000,387.112,26319.791,1.000,6e-06
17,12722.882,0.530,0.000,0.306,0.000,0.000,0.668,0.462,8.928,9.390,0.937,0.249,5.454,6.276,0.000,388.080,81.900,19404.000,4095.000,0.179,0.038,4.738,0.002,0.215,0.972,0.066,0.849,0.934,0.179,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,582.631,11421.502,208.592,0.000,385.777,26078.689,1.000,6e-06
18,12780.605,0.527,0.000,0.301,0.000,0.000,0.662,0.459,8.750,9.209,0.938,0.248,5.410,6.283,0.000,385.400,81.900,19270.000,4095.000,0.178,0.038,4.706,0.002,0.214,0.973,0.066,0.845,0.934,0.178,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,562.461,11500.390,208.616,0.000,385.262,26499.686,1.000,6e-06
19,12740.197,0.526,0.000,0.303,0.000,0.000,0.662,0.460,8.771,9.231,0.938,0.249,5.415,6.267,0.000,387.220,81.900,19361.000,4095.000,0.178,0.038,4.728,0.002,0.214,0.973,0.064,0.852,0.937,0.178,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,548.421,11473.262,208.990,0.000,385.709,26142.779,1.000,6e-06
20,12752.074,0.517,0.000,0.303,0.000,0.000,0.653,0.466,8.821,9.287,0.938,0.248,5.427,6.295,0.000,388.640,81.900,19432.000,4095.000,0.179,0.038,4.745,0.001,0.212,0.974,0.058,0.857,0.939,0.179,2669,48771,48771,1.000,1.000,1621245,203750,48771,243855,154979,3.178,0.126,549.138,11483.283,208.179,0.000,387.246,26399.939,1.000,6e-06
