Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,14877.541654317174,0.587748746755709,0.7256557435898232,0.6536675918250444,0.27031418845006283,0.4905784518243521,1.2500125632662953,0.47860127687454224,47.34895187579571,47.827553152670255,0.9162138811013937,0.1759903800042597,11.212318914623584,0.35966287071516145,0.5029543459970631,2328,48771,48771,1.0,1.0,1815840,203750,48771,243855,154979,3.177687560230465,0.11220702264516698,469.7935650573345,9958.56549282954,217.6505340184085,2.8783921152353287e-05,4125.367212944664,30106.7197265625,1.0,6e-06
2,14930.509099150077,0.6499077597302703,0.6487763501790114,0.4234631182074554,0.150728443601501,0.4480499903906973,1.1573546459076998,0.49466371536254883,24.26862430249923,24.76328801786178,0.9266330471577898,0.19545953674621985,8.283936910560636,0.29086176883815285,0.45549508248172554,2329,48771,48771,1.0,1.0,1816620,203750,48771,243855,154979,3.177687560230465,0.1121588444473803,467.57905310066417,10019.882254323573,220.99763937899843,2.764631062746048e-05,4117.082751201931,29629.55419921875,1.0,6e-06
3,15128.385726358742,0.6405310503713362,0.6089761090836061,0.33813193416910825,0.11479484922432787,0.4084818282898584,1.0843235600894738,0.5112402439117432,18.322416271826803,18.833656515738546,0.9287724475059631,0.20469256737166447,7.314088563904187,0.26147237907621046,0.42910891182611294,2331,48771,48771,1.0,1.0,1818180,203750,48771,243855,154979,3.177687560230465,0.11206261206261206,514.966576008941,10027.443319883663,215.14501846581697,2.89110466837883e-05,4265.206887548789,29397.23583984375,1.0,6e-06
4,15057.814049928915,0.6291504831465017,0.5932104105473588,0.3039977690596453,0.10132865655064072,0.396636595337176,1.0482679073263135,0.5178565382957458,15.458297018786592,15.976153557082338,0.9304322805776967,0.20918415175783045,6.789585416276409,0.24203697194062074,0.4101416303234792,2330,48771,48771,1.0,1.0,1817400,203750,48771,243855,154979,3.177687560230465,0.11211070760426983,487.3859961704584,10094.152010600897,211.05354577675462,3.1402334570884705e-05,4159.779870276339,29669.4990234375,1.0,6e-06
5,15223.446918418165,0.6249561783709752,0.5822105561203199,0.2863590848469244,0.09432447857099541,0.38951843224881544,1.030167895517124,0.5301561951637268,14.24993491389763,14.780091109061356,0.9305624579774165,0.21134600364024841,6.5536539949762895,0.2309708943708614,0.39918445235894306,2330,48771,48771,1.0,1.0,1817400,203750,48771,243855,154979,3.177687560230465,0.11211070760426983,499.2435856955126,10137.58977950539,207.72109932405874,2.718484029173851e-05,4272.864932352677,29597.56396484375,1.0,6e-06
6,15273.035183459986,0.6268257002738963,0.5728692779887239,0.27177699508858827,0.08873155734816215,0.3831320906442309,1.0204091396059718,0.5257083177566528,12.913734338404874,13.439442656161527,0.9315700678755586,0.215102131654938,6.280707197233088,0.21798105319112665,0.3845473346415389,2331,48771,48771,1.0,1.0,1818180,203750,48771,243855,154979,3.177687560230465,0.11206261206261206,515.4258167531807,10183.014247345272,210.1044527539052,3.223586827516556e-05,4258.944308863021,29673.8095703125,1.0,6e-06
7,15084.526258366182,0.6196072805045602,0.5695733063409418,0.27418138631044314,0.08904396827073441,0.38168222920591477,1.0129484870307839,0.5317052006721497,12.967237267794276,13.498942468466426,0.9326132143164467,0.21573446651040024,6.291908750800363,0.2178640708726299,0.3875367892211041,2328,48771,48771,1.0,1.0,1815840,203750,48771,243855,154979,3.177687560230465,0.11220702264516698,487.5815774317598,10143.237535148743,208.4554690020159,3.032386302947998e-05,4139.274179335218,29805.71875,1.0,6e-06
8,14920.566135227215,0.6063619375100975,0.5636418089206638,0.2678844210669001,0.0871862174615328,0.38220091536321354,0.9945926259515623,0.534514844417572,13.202991601234215,13.737506445651787,0.9334299873788,0.21565283955624012,6.3409960705578134,0.2205477729329627,0.3905357837843394,2330,48771,48771,1.0,1.0,1817400,203750,48771,243855,154979,3.177687560230465,0.11211070760426983,490.01022296375595,9999.706297933939,210.265807333868,3.1393952667713165e-05,4114.9219065536745,29889.625,1.0,6e-06
9,15060.764710039832,0.6083976574680009,0.5585596905609713,0.26362488100873155,0.0848934449949064,0.37924491259633397,0.9921454966886522,0.5279728174209595,12.395545708953751,12.92351852637471,0.933639233315054,0.2177343040434015,6.171100510438432,0.2123169202789179,0.37852638167752983,2331,48771,48771,1.0,1.0,1818180,203750,48771,243855,154979,3.177687560230465,0.11206261206261206,498.50416037777904,10051.836310586426,209.27351796394214,2.3556873202323914e-05,4194.89733727416,30071.8232421875,1.0,6e-06
10,14995.876588921063,0.5986279829121455,0.556059543200061,0.26785628040096615,0.08569586031426688,0.37962690540649346,0.9835825615430595,0.5281261801719666,12.967465486700103,13.49559166687207,0.9348356222962328,0.21806241020538253,6.2921771642929505,0.2180322422391665,0.3857992114494388,2330,48771,48771,1.0,1.0,1817400,203750,48771,243855,154979,3.177687560230465,0.11211070760426983,502.7862974209711,10066.75360002264,208.7505000140518,2.2786203771829605e-05,4111.8121754247695,29868.0888671875,1.0,6e-06
