Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,26942.97885999363,0.708229353983241,0.7722197260092387,0.7661620242934751,0.3474986650853845,0.0,1.3754039567220662,0.5495402216911316,9.983471644469654,10.533011866160786,0.9241915638730656,0.2169375039453471,4.840831668319546,20.47336809257125,0.0,1538,48771,48771,1.0,1.0,3232080,203750,48771,243855,154979,3.177687560230465,0.06303990000247518,324.80345829902217,22136.42788020952,218.85304086469114,2.6467256247997284e-05,4238.1457379460335,21799.5419921875,1.0,6e-06
2,26642.138604773674,0.6689854611985395,0.6906371862277563,0.6112633274479222,0.2630859750610024,0.0,1.2252398650264864,0.586748480796814,9.699020683743834,10.285769164540648,0.9271913144238881,0.22188118094031076,4.776278678045857,20.06368535102832,0.0,1538,48771,48771,1.0,1.0,3232080,203750,48771,243855,154979,3.177687560230465,0.06303990000247518,330.3443871065974,22050.42371706362,203.7483738414012,2.9975082725286484e-05,4033.4911503987387,21766.46533203125,1.0,6e-06
3,25721.163179717958,0.7104372216584779,0.6315040865765281,0.37721637653490625,0.16075183705018617,0.0,1.1253237913814416,0.6014862060546875,9.902631546395487,10.504117752450174,0.9307249194833789,0.22475611089745434,4.8172459519255435,20.494541262254792,0.0,1538,48771,48771,1.0,1.0,3232080,203750,48771,243855,154979,3.177687560230465,0.06303990000247518,317.48604403669015,21250.499162027496,238.6155017032288,3.218185156583786e-05,3890.339726964943,21766.43896484375,1.0,6e-06
4,26285.655900960788,0.6918194003219102,0.6150214356819582,0.3316894558491207,0.1406857906919462,0.0,1.0774400214457542,0.6119247674942017,9.37449585256425,9.986420620058452,0.9315286214801668,0.22554037954615638,4.7019460276635305,19.576353394167985,0.0,1538,48771,48771,1.0,1.0,3232080,203750,48771,243855,154979,3.177687560230465,0.06303990000247518,305.4492854856653,21597.327477872837,231.04767722729594,3.1698960810899734e-05,4128.047956622206,21766.53271484375,1.0,6e-06
5,26397.498602706008,0.6821677946765339,0.6022283308624601,0.3030770884195221,0.13002750583680925,0.0,1.048836521193947,0.6200186014175415,8.547275644163191,9.167294245580733,0.9323653764791888,0.22901706539514713,4.502675964930345,18.376660701107774,0.0,1538,48771,48771,1.0,1.0,3232080,203750,48771,243855,154979,3.177687560230465,0.06303990000247518,325.9324994930066,21684.165188056417,210.6160699739121,3.037368878722191e-05,4152.682700885925,21766.38525390625,1.0,6e-06
6,27125.39887253195,0.682347320818994,0.5935840331129318,0.2863026306955101,0.12344633742847405,0.0,1.0374548613754009,0.6269235014915466,8.190470974611948,8.817394476103495,0.9332570874970648,0.23049767179668096,4.411362587200849,17.895450294210892,0.0,1539,48771,48771,1.0,1.0,3237030,203750,48771,243855,154979,3.177687560230465,0.06294350067809072,321.1830468630651,22391.000991064706,205.27419565431774,3.540609031915665e-05,4183.815290589351,21799.58203125,1.0,6e-06
7,26794.118545972276,0.6810324534541299,0.5877828400373769,0.2758190434141009,0.11766510589535122,0.0,1.0285247790061607,0.6266075372695923,8.067122885532214,8.693730422801806,0.9335516507441165,0.23035403700318063,4.381841388464064,17.674425126369872,0.0,1538,48771,48771,1.0,1.0,3232080,203750,48771,243855,154979,3.177687560230465,0.06303990000247518,311.94565675011836,22048.64715898037,209.37632376281545,2.797599881887436e-05,4200.512890446,21766.53271484375,1.0,6e-06
8,27230.696202361956,0.6686753899886022,0.5833442561783778,0.2753859011275359,0.11816761761865008,0.0,1.0144946734640161,0.6270402073860168,8.131450472208856,8.758490679594873,0.9337775165532411,0.23118454950293665,4.397165420998409,17.793568404017343,0.0,1538,48771,48771,1.0,1.0,3232080,203750,48771,243855,154979,3.177687560230465,0.06303990000247518,305.2462367939297,22481.734956228407,205.90242857998237,3.758259117603302e-05,4213.738371043,21766.53271484375,1.0,6e-06
9,27048.54151552869,0.6717582202197981,0.5806459745946879,0.27729971673308285,0.11748338613770563,0.0,1.017391686728624,0.6294896602630615,7.595170104847429,8.224659765110491,0.934334695668932,0.2326939906742567,4.24807765811847,17.194061257717692,0.0,1538,48771,48771,1.0,1.0,3232080,203750,48771,243855,154979,3.177687560230465,0.06303990000247518,342.201568846358,22274.69488968968,228.83046176098287,2.439599484205246e-05,4178.752380806021,21766.4951171875,1.0,6e-06
10,27262.80843137158,0.6660315517641323,0.5735988923395718,0.26594369978868726,0.1135108222111924,0.0,1.0034924486291115,0.6288155913352966,7.867680178108879,8.496495769444175,0.9352042390118144,0.23337509514112081,4.325323523215852,17.48908014056375,0.0,1538,48771,48771,1.0,1.0,3232080,203750,48771,243855,154979,3.177687560230465,0.06303990000247518,316.9359906903701,22517.647513775155,216.29105486162007,2.321135252714157e-05,4187.50058704149,21799.578125,1.0,6e-06
